,company_name,date,low,open,volume,high,close,adjusted_close
0,Apple,2022-01-14,171.09,171.34,80440800,173.78,173.07,172.6
1,Sherwin-Williams,2022-01-14,304.0,310.24,2622700,313.45,308.46,307.03
2,Costco,2022-01-14,501.86,511.57,3872500,512.98,502.99,501.41
3,Amazon,2022-01-14,159.8,160.15,45974000,162.25,162.14,162.14
4,United Health Group,2022-01-14,465.08,469.89,3665400,473.17,468.69,468.69
5,Netflix,2022-01-14,511.88,517.6,7861100,538.37,525.69,525.69
6,FedEx,2022-01-14,253.26,254.59,1393600,256.66,256.22,254.06
7,DTE Energy,2022-01-14,118.2,119.67,690300,119.74,119.38,117.67
8,Bank of America,2022-01-14,47.19,47.52,72953300,48.23,47.91,47.4
9,Marathon Oil Corp,2022-01-14,18.66,18.72,17997300,19.5,19.47,19.35
10,American Tower Corp,2022-01-14,246.09,253.64,2549900,254.2,250.62,247.81
11,Netflix,2022-01-18,508.68,520.08,4839100,521.75,510.8,510.8
12,Bank of America,2022-01-18,46.05,47.85,65877400,47.92,46.26,45.77
13,Costco,2022-01-18,486.86,494.46,3801900,495.08,488.07,486.54
14,Apple,2022-01-18,169.41,171.51,90956700,172.54,169.8,169.34
15,Marathon Oil Corp,2022-01-18,19.1,19.81,26533500,20.01,19.43,19.31
16,FedEx,2022-01-18,250.25,252.66,1918700,254.24,253.33,251.2
17,Amazon,2022-01-18,157.66,159.1,67292000,159.73,158.92,158.92
18,American Tower Corp,2022-01-18,247.78,248.63,2523600,250.97,250.23,247.43
19,United Health Group,2022-01-18,458.35,465.17,3938800,465.71,460.99,460.99
20,DTE Energy,2022-01-18,117.14,118.64,868200,119.14,118.38,116.69
21,Sherwin-Williams,2022-01-18,297.78,300.71,2738200,306.95,306.22,304.8
22,Apple,2022-01-19,165.94,170.0,94815000,171.08,166.23,165.77
23,American Tower Corp,2022-01-19,248.08,251.21,2200000,253.26,249.0,246.21
24,DTE Energy,2022-01-19,117.89,118.56,543600,119.59,118.67,116.97
25,Costco,2022-01-19,487.1,489.89,2709400,496.24,490.16,488.62
26,Sherwin-Williams,2022-01-19,303.57,306.66,1859800,309.2,303.79,302.39
27,United Health Group,2022-01-19,461.51,468.0,4030900,475.49,462.52,462.52
28,FedEx,2022-01-19,252.18,253.33,1302800,255.81,252.19,250.07
29,Marathon Oil Corp,2022-01-19,18.92,19.7,17325300,19.72,19.1,18.98
30,Netflix,2022-01-19,510.51,515.0,4353500,523.21,515.86,515.86
31,Amazon,2022-01-19,156.25,158.76,53242000,159.25,156.3,156.3
32,Bank of America,2022-01-19,46.35,48.39,84451800,48.58,46.44,45.95
33,Amazon,2022-01-20,151.35,156.77,71974000,158.0,151.67,151.67
34,American Tower Corp,2022-01-20,245.54,249.89,2120900,252.86,245.94,243.18
35,Apple,2022-01-20,164.18,166.98,91420500,169.68,164.51,164.06
36,Netflix,2022-01-20,506.93,517.75,12659000,526.64,508.25,508.25
37,FedEx,2022-01-20,250.64,253.72,1671600,256.0,250.74,248.63
38,Costco,2022-01-20,481.84,490.75,2893700,499.88,482.82,481.31
39,Bank of America,2022-01-20,45.66,46.69,46265300,47.05,45.75,45.27
40,DTE Energy,2022-01-20,118.09,118.98,714300,120.23,118.36,116.67
41,Sherwin-Williams,2022-01-20,296.75,305.32,1501300,307.57,297.66,296.28
42,Marathon Oil Corp,2022-01-20,18.66,18.82,17616700,19.52,18.68,18.57
43,United Health Group,2022-01-20,462.0,464.38,3228600,471.63,463.0,463.0
44,Netflix,2022-01-21,379.99,400.43,58904300,409.15,397.5,397.5
45,Bank of America,2022-01-21,44.66,45.57,71303600,46.02,44.92,44.45
46,Costco,2022-01-21,481.32,481.92,3295600,494.61,481.61,480.1
47,Marathon Oil Corp,2022-01-21,17.75,18.45,18710900,18.5,18.1,17.99
48,United Health Group,2022-01-21,461.07,463.5,4273200,470.79,461.17,461.17
49,Sherwin-Williams,2022-01-21,292.76,297.66,2124900,301.85,292.85,291.5
50,FedEx,2022-01-21,243.94,249.63,3063600,249.99,244.91,242.85
51,Apple,2022-01-21,162.3,164.42,122848900,166.33,162.41,161.97
52,DTE Energy,2022-01-21,118.31,118.95,746500,120.09,118.46,116.77
53,American Tower Corp,2022-01-21,243.76,249.73,3504900,250.78,244.76,242.02
54,Amazon,2022-01-21,142.07,149.95,163972000,150.9,142.64,142.64
55,Apple,2022-01-24,154.7,160.02,162294600,162.3,161.62,161.18
56,FedEx,2022-01-24,236.85,239.56,3051500,245.95,245.72,243.65
57,DTE Energy,2022-01-24,113.82,118.0,1227000,118.86,116.88,115.21
58,Bank of America,2022-01-24,42.59,43.9,90672700,44.69,44.55,44.08
59,Marathon Oil Corp,2022-01-24,17.02,17.52,18578400,18.4,18.3,18.19
60,Amazon,2022-01-24,135.35,139.0,155624000,144.95,144.54,144.54
61,United Health Group,2022-01-24,448.13,458.07,4780700,464.14,462.27,462.27
62,Sherwin-Williams,2022-01-24,284.9,287.25,2987300,299.64,298.52,297.14
63,Netflix,2022-01-24,351.46,383.91,32346000,387.26,387.15,387.15
64,Costco,2022-01-24,469.01,475.55,4412600,489.97,488.9,487.37
65,American Tower Corp,2022-01-24,239.0,241.31,2708800,249.33,248.4,245.62
66,FedEx,2022-01-25,239.01,241.74,2032200,246.74,244.04,241.99
67,Bank of America,2022-01-25,43.83,44.29,73555300,45.57,45.43,44.95
68,Netflix,2022-01-25,365.13,379.14,15145800,387.71,366.42,366.42
69,Costco,2022-01-25,472.37,479.9,3076800,482.64,477.32,475.82
70,Apple,2022-01-25,157.02,158.98,115798400,162.76,159.78,159.34
71,Sherwin-Williams,2022-01-25,290.52,294.51,2908000,298.95,294.26,292.9
72,Amazon,2022-01-25,138.15,142.24,90824000,143.6,139.99,139.99
73,Marathon Oil Corp,2022-01-25,17.85,18.2,23109100,19.62,19.5,19.38
74,DTE Energy,2022-01-25,115.46,115.46,1450100,118.46,117.63,115.95
75,United Health Group,2022-01-25,447.27,454.07,3428900,459.49,456.84,456.84
76,American Tower Corp,2022-01-25,245.39,245.79,2065700,252.4,250.53,247.72
77,Sherwin-Williams,2022-01-26,291.72,295.0,3524100,299.99,292.75,291.4
78,Apple,2022-01-26,157.82,163.5,108275300,164.39,159.69,159.25
79,FedEx,2022-01-26,241.22,245.81,2010800,248.25,243.16,241.11
80,American Tower Corp,2022-01-26,240.4,250.63,2325000,254.37,242.6,239.88
81,Marathon Oil Corp,2022-01-26,19.37,19.87,25351700,20.26,19.61,19.49
82,Netflix,2022-01-26,356.62,378.27,12684000,382.66,359.7,359.7
83,United Health Group,2022-01-26,453.45,458.45,4435900,463.88,458.43,458.43
84,Costco,2022-01-26,478.77,483.23,3074900,493.87,483.47,481.95
85,Bank of America,2022-01-26,45.26,45.78,63735800,46.46,45.9,45.42
86,DTE Energy,2022-01-26,117.03,117.52,1400700,119.28,118.18,116.49
87,Amazon,2022-01-26,137.32,144.75,95602000,145.18,138.87,138.87
88,American Tower Corp,2022-01-27,235.22,241.55,2722300,245.05,236.43,233.78
89,Bank of America,2022-01-27,45.09,46.37,63402400,46.75,45.47,44.99
90,Apple,2022-01-27,158.28,162.45,121954600,163.84,159.22,158.78
91,DTE Energy,2022-01-27,118.79,119.01,1373400,120.93,119.81,118.1
92,Marathon Oil Corp,2022-01-27,19.39,20.1,22988200,20.58,19.85,19.73
93,Netflix,2022-01-27,378.1,382.06,24324700,394.8,386.7,386.7
94,Sherwin-Williams,2022-01-27,279.81,290.28,3374500,294.94,283.17,281.86
95,Amazon,2022-01-27,139.35,140.8,77516000,144.24,139.64,139.64
96,United Health Group,2022-01-27,457.01,458.08,3508100,468.68,461.6,461.6
